obsid,leadid,ccode,"
idacr",leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,Living_Abroad_Civilian,Military_Service_Abroad,Diplomatic,First_Gen_Immigrant,Study_Abroad_Civilian,Study_Abroad_Military,Exile_Abroad,Living_Abroad_Under_18,Foreign_Language,Which_language,foreign_country_1,Year_Arrival_Country_1,Year_Departure_Country_1,Country_1_military_only,foreign_country_2,Year_Arrival_Country_2,Year_Departure_Country_2,Country_2_military_only,foreign_country_3,Year_Arrival_Country_3,Year_Departure_Country_3,Country_3_military_only,foreign_country_n,Year of first departure,Year of final return,Multiple Foreign Experience,Less than one year,Between 1 and 5 years,Between 5 and 10 years,More than 10 years,travel/Tourism,travel_country_1,travel_country_2,travel_country_3,Notes,Sources,Coder_1,Coder_2 ,Coder_3,Revision_Coder_2_3,Revision Note
COS-1882-2,81e9eae3-1e42-11e4-b4cd-db5882bf8def,94,COS,Prospero Fernandez Oreamuno,1882-07-20,20jul1882,1885-03-12,12mar1885,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1834,1885,NA,,NA,,NA,0,2,0,-777,Father-in-law of Bernardo Soto Alfaro%81e9eae4-1e42-11e4-b4cd-db5882bf8def,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1885,81e9eae4-1e42-11e4-b4cd-db5882bf8def,94,COS,Bernardo Soto Alfaro,1885-03-12,12mar1885,1889-11-07,07nov1889,Regular,Irregular,Unknown,0,Exile,M,1854,1931,NA,,NA,,NA,0,3,-999,1,Son-in-law of Prospero Fernandez Oreamuno%81e9eae3-1e42-11e4-b4cd-db5882bf8def,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1889,81ea1bb4-1e42-11e4-b4cd-db5882bf8def,94,COS,Carlos Duran Cartin,1889-11-07,07nov1889,1890-05-08,08may1890,Regular,Regular,Regular,0,Missing: No Information Found,M,1852,1924,1852-11-12,12nov1852,11/23/1924,11/23/1924,NA,0,1,0,-666,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1890,81ea1bb5-1e42-11e4-b4cd-db5882bf8def,94,COS,Jose Joaquin Rodriguez,1890-05-08,08may1890,1894-05-08,08may1894,Regular,Regular,Regular,0,Exile,M,1838,1917,NA,,NA,,NA,0,1,0,1,Father-in-law of Rafael Yglesias Castro%81ea1bb6-1e42-11e4-b4cd-db5882bf8def,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1894,81ea1bb6-1e42-11e4-b4cd-db5882bf8def,94,COS,Rafael Yglesias Castro,1894-05-08,08may1894,1902-05-08,5/8/1902,Regular,Regular,Regular,0,OK,M,1861,1924,1861-04-18,18apr1861,NA,,NA,0,1,0,0,Son-in-law of Jose Joaquin Rodriguez%81ea1bb5-1e42-11e4-b4cd-db5882bf8def,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1902,81ea4c88-1e42-11e4-b4cd-db5882bf8def,94,COS,Ascension Esquivel Ibarra,1902-05-08,5/8/1902,1906-05-08,5/8/1906,Regular,Regular,Regular,0,OK,M,1848,1927,NA,,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1906,81ea4c89-1e42-11e4-b4cd-db5882bf8def,94,COS,Gonzalez Viquez,1906-05-08,5/8/1906,1910-05-08,5/8/1910,Regular,Regular,Regular,0,OK,M,1858,1937,1858-10-13,13oct1858,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Cleto-5FGonz-25C3-25A1lez-5FV-25C3-25ADquez&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=A_hYMTRyQUrmcvKSlb1qjIpOKEOUpiSuIkB60SQmuPA&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1910,81ea7d5c-1e42-11e4-b4cd-db5882bf8def,94,COS,Jimenez Oreamuno,1910-05-08,5/8/1910,1914-05-08,5/8/1914,Regular,Regular,Regular,0,OK,M,1859,1945,1859-02-06,06feb1859,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1914,81ea7d5d-1e42-11e4-b4cd-db5882bf8def,94,COS,Alfredo Gonzalez Flores,1914-05-08,5/8/1914,1917-01-27,1/27/1917,Regular,Irregular,Unknown,0,Exile,M,1877,1962,1877-06-15,15jun1877,NA,,NA,0,3,-999,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1917,81eaae30-1e42-11e4-b4cd-db5882bf8def,94,COS,Federico Tinoco Granados,1917-01-27,1/27/1917,1919-08-13,8/13/1919,Irregular,Irregular,"Removed by Rebels, without Foreign Support",0,Exile,M,1870,1931,NA,,NA,,NA,1,3,4,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1919-1,81eaae31-1e42-11e4-b4cd-db5882bf8def,94,COS,Juan Bautista Quiros Segura,1919-08-13,8/13/1919,1919-09-06,9/6/1919,Irregular,Irregular,"Popular Protest, with Foreign Support",0,OK,M,1853,1934,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FBautista-5FQuir-25C3-25B3s-5FSegura&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XKC7F1iwXgcPwWo54d4NxfS04Q6CwNF1hBc8jah7I_g&e=,1,3,1,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1919-2,81eadf04-1e42-11e4-b4cd-db5882bf8def,94,COS,Barquero,1919-09-06,9/6/1919,1919-09-06,9/6/1919,Irregular,Regular,Regular,0,Missing: No Information Found,M,1857,1924,NA,,NA,,NA,1,1,0,-666,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1920,81eadf05-1e42-11e4-b4cd-db5882bf8def,94,COS,Acosta Garcia,1920-05-08,5/8/1920,1924-05-08,5/8/1924,Regular,Regular,Regular,0,OK,M,1872,1954,1872-05-23,23may1872,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1924,81ea7d5c-1e42-11e4-b4cd-db5882bf8def,94,COS,Jimenez Oreamuno,1924-05-08,5/8/1924,1928-05-08,5/8/1928,Regular,Regular,Regular,1,OK,M,1859,1945,1859-02-06,06feb1859,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1928,81ea4c89-1e42-11e4-b4cd-db5882bf8def,94,COS,Gonzalez Viquez,1928-05-08,5/8/1928,1932-05-08,5/8/1932,Regular,Regular,Regular,1,OK,M,1858,1937,1858-10-13,13oct1858,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Cleto-5FGonz-25C3-25A1lez-5FV-25C3-25ADquez&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=A_hYMTRyQUrmcvKSlb1qjIpOKEOUpiSuIkB60SQmuPA&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1932,81ea7d5c-1e42-11e4-b4cd-db5882bf8def,94,COS,Jimenez Oreamuno,1932-05-08,5/8/1932,1936-05-08,5/8/1936,Regular,Regular,Regular,2,OK,M,1859,1945,1859-02-06,06feb1859,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1936,81eb0fd8-1e42-11e4-b4cd-db5882bf8def,94,COS,Cortes Castro,1936-05-08,5/8/1936,1940-05-08,5/8/1940,Regular,Regular,Regular,0,OK,M,1882,1946,1882-12-08,08dec1882,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Le-25C3-25B3n-5FCort-25C3-25A9s-5FCastro&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fC-KH_WTjfdyr_lTh2y0fJ7elcXqrFTCzG3eUMWRkZE&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1940,81eb0fd9-1e42-11e4-b4cd-db5882bf8def,94,COS,Calderon Guardi,1940-05-08,5/8/1940,1944-05-08,5/8/1944,Regular,Regular,Regular,0,OK,M,1900,1970,3/10/1900,3/10/1900,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rafael-5F-25C3-2581ngel-5FCalder-25C3-25B3n-5FGuardia&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=dGTO9RS09QHl1Qdr18wPadEyMMRRgscELuJhFxI1sTM&e=,0,1,0,0,Father of Calderon Fournier%81ec34db-1e42-11e4-b4cd-db5882bf8def,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1944,81eb40b6-1e42-11e4-b4cd-db5882bf8def,94,COS,Picado Michalski,1944-05-08,5/8/1944,1948-04-20,4/20/1948,Regular,Irregular,"Removed by Rebels, without Foreign Support",0,Exile,M,1900,1960,1/10/1900,1/10/1900,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Teodoro-5FPicado-5FMichalski&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XS1xYz7ohtQKiO4R_Es66TilNy4_SncYtybLv_8wRFI&e=,0,3,4,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1948-1,81eb718a-1e42-11e4-b4cd-db5882bf8def,94,COS,Leon Herrera,1948-04-20,4/20/1948,1948-05-08,5/8/1948,Irregular,Regular,Regular,0,OK,M,1874,1950,1874-05-21,21may1874,5/8/1950,5/8/1950,NA,1,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1948-2,81eb718b-1e42-11e4-b4cd-db5882bf8def,94,COS,Figueres Ferrer,1948-05-08,5/8/1948,1949-11-08,11/8/1949,Irregular,Regular,Regular,0,OK,M,1906,1990,9/25/1906,9/25/1906,6/8/1990,6/8/1990,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FFigueres-5FFerrer&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=d2HyZP351m70fx3nW73Jg5U4_2gvAdvyx62GiQ9ZrIA&e=,1,1,0,0,Father of Calderon Fournier%81ec34db-1e42-11e4-b4cd-db5882bf8def,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1949,81eb718c-1e42-11e4-b4cd-db5882bf8def,94,COS,Otilia Ulate,1949-11-08,11/8/1949,1953-11-08,11/8/1953,Regular,Regular,Regular,0,OK,M,1892,1973,NA,,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1953,81eb718b-1e42-11e4-b4cd-db5882bf8def,94,COS,Figueres Ferrer,1953-11-08,11/8/1953,1958-05-08,5/8/1958,Regular,Regular,Regular,1,OK,M,1906,1990,9/25/1906,9/25/1906,6/8/1990,6/8/1990,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FFigueres-5FFerrer&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=d2HyZP351m70fx3nW73Jg5U4_2gvAdvyx62GiQ9ZrIA&e=,0,1,0,0,Father of Calderon Fournier%81ec34db-1e42-11e4-b4cd-db5882bf8def,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1958,81eba25e-1e42-11e4-b4cd-db5882bf8def,94,COS,Echandi Jimenez,1958-05-08,5/8/1958,1962-05-08,5/8/1962,Regular,Regular,Regular,0,OK,M,1915,2011,NA,,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1962,81eba25f-1e42-11e4-b4cd-db5882bf8def,94,COS,Orlich,1962-05-08,5/8/1962,1966-05-08,5/8/1966,Regular,Regular,Regular,0,OK,M,1907,1969,3/10/1907,3/10/1907,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Francisco-5FOrlich-5FBolmarcich&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=elA8QFvEqFMihIdU9ad3xw4EiHj3CqF3hAfm3DM5FbQ&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1966,81ebd332-1e42-11e4-b4cd-db5882bf8def,94,COS,Trejos,1966-05-08,5/8/1966,1970-05-08,5/8/1970,Regular,Regular,Regular,0,OK,M,1916,2010,4/18/1916,4/18/1916,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FJoaqu-25C3-25ADn-5FTrejos-5FFern-25C3-25A1ndez&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=HVXkfGpZ2OmtISXNYITSMuCtXiOK1a4Ta884qoQtGA0&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1970,81eb718b-1e42-11e4-b4cd-db5882bf8def,94,COS,Figueres Ferrer,1970-05-08,5/8/1970,1974-05-08,5/8/1974,Regular,Regular,Regular,2,OK,M,1906,1990,9/25/1906,9/25/1906,6/8/1990,6/8/1990,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FFigueres-5FFerrer&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=d2HyZP351m70fx3nW73Jg5U4_2gvAdvyx62GiQ9ZrIA&e=,0,1,0,0,Father of Calderon Fournier%81ec34db-1e42-11e4-b4cd-db5882bf8def,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1974,81ebd333-1e42-11e4-b4cd-db5882bf8def,94,COS,"Quiros, Daniel",1974-05-08,5/8/1974,1978-05-08,5/8/1978,Regular,Regular,Regular,0,OK,M,1921,1991,8/25/1921,8/25/1921,10/13/1991,10/13/1991,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Daniel-5FOduber-5FQuir-25C3-25B3s&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=YKmPxA6DOF5lLu6NGvHNi_IdE0RbSaz3fdjct_ncIpA&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1978,81ec0406-1e42-11e4-b4cd-db5882bf8def,94,COS,Carazo Odio,1978-05-08,5/8/1978,1982-05-08,5/8/1982,Regular,Regular,Regular,0,OK,M,1926,2009,12/27/1926,12/27/1926,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rodrigo-5FCarazo-5FOdio&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=t5sAkaS-FDagtjDf-2fv1vtjsf2y5rno3CULTVRwtLE&e=,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1982,81ec0407-1e42-11e4-b4cd-db5882bf8def,94,COS,Monge Alverez,1982-05-08,5/8/1982,1986-05-08,5/8/1986,Regular,Regular,Regular,0,OK,M,1925,-777,12/28/1925,12/28/1925,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1986,81ec34da-1e42-11e4-b4cd-db5882bf8def,94,COS,Arias,1986-05-08,5/8/1986,1990-05-08,5/8/1990,Regular,Regular,Regular,0,OK,M,1941,-777,9/13/1941,9/13/1941,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1990,81ec34db-1e42-11e4-b4cd-db5882bf8def,94,COS,Calderon Fournier,1990-05-08,5/8/1990,1994-05-08,5/8/1994,Regular,Regular,Regular,0,OK,M,1949,-777,NA,,NA,,NA,0,1,0,0,Son of Calderon Guardi%81eb0fd9-1e42-11e4-b4cd-db5882bf8def;Son of Calderon Fournier%81eb718b-1e42-11e4-b4cd-db5882bf8def,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1994,81ec65ae-1e42-11e4-b4cd-db5882bf8def,94,COS,Figueres Olsen,1994-05-08,5/8/1994,1998-05-08,5/8/1998,Regular,Regular,Regular,0,OK,M,1954,-777,NA,,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-1998,81ec65af-1e42-11e4-b4cd-db5882bf8def,94,COS,Rodriguez Echeverria,1998-05-08,5/8/1998,2002-05-08,5/8/2002,Regular,Regular,Regular,0,OK,M,1940,-777,NA,,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-2002,81ec9682-1e42-11e4-b4cd-db5882bf8def,94,COS,de la Espriella,2002-05-09,5/9/2002,2006-05-08,5/8/2006,Regular,Regular,Regular,0,OK,M,1933,-777,NA,,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-2006,81ec34da-1e42-11e4-b4cd-db5882bf8def,94,COS,Arias,2006-05-08,5/8/2006,2010-05-08,5/8/2010,Regular,Regular,Regular,1,OK,M,1941,-777,9/13/1941,9/13/1941,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-2010,82508a84-1e42-11e4-b4cd-db5882bf8def,94,COS,Laura Chinchilla Miranda,2010-05-08,5/8/2010,2014-05-08,5/8/2014,Regular,Regular,Regular,0,OK,F,1959,-777,3/28/1959,3/28/1959,NA,,NA,0,1,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS-2014,149e15bc-aae0-11e4-b3bc-29f2fa19767e,94,COS,Solis Rivera,2014-05-08,5/8/2014,2015-12-31,12/31/2015,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1958,-777,4/25/1958,4/25/1958,NA,,NA,0,-888,-888,-888,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRO-1990,821b2190-1e42-11e4-b4cd-db5882bf8def,344,CRO,Tudjman,1990-05-30,5/30/1990,1999-11-26,11/26/1999,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1922,1999,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Franjo-5FTu-25C4-2591man&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8r-usCB3_Y7lzG77ZyLwNFRzhyMdFaTjjkOHdhP-nPw&e=,0,2,0,-777,NA,NA,1,1,0,0,0,1,0,0,1,,Serbia,1945,1961,0,Yugoslavia,,,0,,,,,,1945,1961,0,0,0,0,1,1,Sweden,Canada,,"He fought the World War II as a member of the Yugoslav Partisans, later joined the Yugoslav People's army, and attended a military academy in Belgrade, Serbia. He also worked in a sports club in Serbia.","Sadkovich, James J. (2010). Tu?man – Prva politi?ka biografija (in Croatian). Zagreb: Ve?ernji list. ISBN 978-953-7313-72-2. Ian Traynor, “Franjo Tudjman,” the Guardian (The Guardian, December 13, 1999), .",Tongtong,,,,
CRO-1999,821b5260-1e42-11e4-b4cd-db5882bf8def,344,CRO,Pavletic,1999-11-26,11/26/1999,2000-02-02,2/2/2000,Regular,Regular,Regular,0,OK,M,1930,2007,NA,,NA,,NA,0,1,0,0,NA,NA,1,0,0,0,1,0,0,0,0,,FRN,1960,1961,0,Italy,1961,1961,0,,,,,,,,1,0,1,0,0,0,,,,"He spent a year in Paris, France, and then three months in Italy for a study visit (not sure if that counts as Study_abroad). And he was imprisoned, in 1972, for 18 months, by the Yugoslavian government for being a Croatian nationalist activist.","“Vlatko Pavletic - Biography,” Vlatkopavletic.com.hr, 2022, .",Tongtong,,,,
CRO-2000-1,821b5261-1e42-11e4-b4cd-db5882bf8def,344,CRO,Tomcic,2000-02-02,2/2/2000,2000-02-18,2/18/2000,Regular,Regular,Regular,0,OK,M,1945,-777,NA,,NA,,NA,0,1,0,0,NA,NA,1,0,0,0,1,0,0,0,0,,Serbia,,1971,0,,,,,,,,,,,,0,0,1,0,0,0,,,,"He graduated from the University of Belgrade, Serbia, and had worked in Serbia for a year.","“IVOTOPIS PREDSJEDNIKA SABORA ZLATKA TOMIA,” Archive.org, 2015, .",Tongtong,,,,
CRO-2000-2,821b5262-1e42-11e4-b4cd-db5882bf8def,344,CRO,Mesic,2000-02-18,2/18/2000,2010-02-18,2/18/2010,Regular,Regular,Regular,0,OK,M,1934,-777,12/24/1934,12/24/1934,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Stjepan-5FMesi-25C4-2587&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rKigniXG-tnY7D9mB5GW6lhDRN7YUglyNYvRG3-F1AQ&e=,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"“Stjepan Mesi? - President of the Republic of Croatia - Zoran Milanovi?,” President of the Republic of Croatia - Zoran Milanovi?, July 13, 2020, .",Tongtong,,,,
CRO-2010,82521127-1e42-11e4-b4cd-db5882bf8def,344,CRO,Josipovic,2010-02-18,2/18/2010,2015-02-18,2/18/2015,Regular,Regular,Regular,0,Missing: Left Office after 2014-12-31,M,1957,-777,8/28/1957,8/28/1957,NA,,NA,0,1,0,-999,NA,NA,1,0,1,0,1,0,0,0,1,"English, German",Germany,,,,USA,,,,Netherlands,,,,,,,1,0,0,1,0,1,Finland,Mongolia,Azerbaijan,"He had been a visiting or private researcher in universities in Germany, the USA, and Finland, and he had participated in research conducted by a Hungarian institute. He represented Croatia in the International Court of Justice. He had paid research visits to Mongolia and Azerbaijan as well.","“Ivo Josipovi? - President of the Republic of Croatia - Zoran Milanovi?,” President of the Republic of Croatia - Zoran Milanovi?, June 17, 2020, . “Ivo Josipovi? - Pravna Znanost,” Archive.org, 2019, .",Tongtong,,,,
CRO-2015,43f5aea6-de6a-11e5-ba44-bb6d7c1a9a58,344,CRO,Kolinda Grabar-Kitarovic,2015-02-19,2/19/2015,2015-12-31,12/31/2015,Regular,Still in Office,Still in Office,0,Leader Still in Office,F,1968,-777,4/29/1968,4/29/1968,NA,,NA,0,-888,-888,-888,NA,NA,1,0,1,0,1,0,0,1,1,"English, Spanish",USA,1985,2011,0,Canada,1995,2000,0,Belgium,2011,2014,0,,,,1,0,0,0,1,0,,,,"She moved to the USA at the age of 17 and finished high school there. He studied English and Spanish literature at university so she can speak both these two languages. She studied at multiple American universities from 2002 to 2003. She worked as a diplomat in Canada from 1995 to 2000, in the USA from 2008 to 2011, and as a Secretary General for Public Affairs at NATO, which locates in Belgium, from 2011 to 2014.",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.un.org/pga/wp-content/uploads/sites/3/2015/03/biography-KGrabar.pdf,Tongtong,,,,
